"","Fire_ID","mtbs_cast_id","modis_id","n","mtbs_acres","mtbs_hectares","mtbs_year","modis_ha","modis_acres","west_or_east"
"197","ID4628811474720010914","ID4628811474720010914_10024","NA",0,259.295535734019,104.933600142467,2001,NA,NA,"w"
"198","ID4628811474720010914","ID4628811474720010914_10025","200100239",1,882.594310135862,357.174673931968,2001,300.1166,741.604269,"w"
"199","ID4628811474720010914","ID4628811474720010914_10026","NA",0,570.802810428705,230.996625916317,2001,NA,NA,"w"
"200","KS3843109651920010319","KS3843109651920010319","NA",0,6055.85929118239,2450.72910947385,2001,NA,NA,"e"
"201","KY3659408395320011030","KY3659408395320011030","200101441 200101442",2,630.19908930057,255.033543325818,2001,150.0583,370.8021345,"e"
"202","KY3666408402620010219","KY3666408402620010219","NA",0,1066.21384862923,431.483162028623,2001,NA,NA,"e"
"203","KY3667708418420010410","KY3667708418420010410","NA",0,569.099213135747,230.307201794004,2001,NA,NA,"e"
"204","KY3670408391620011030","KY3670408391620011030","200101423",1,1215.14465496921,491.753562122998,2001,471.6118,1165.378137,"e"
"205","KY3679808431520011112","KY3679808431520011112","NA",0,778.413356362483,315.013969102362,2001,NA,NA,"e"
"206","KY3680508379520011031","KY3680508379520011031","200101410",1,1042.11843586653,421.732055435326,2001,171.4952,423.773868,"e"
"207","KY3683908454320011111","KY3683908454320011111","200101404",1,924.812260610379,374.259740674003,2001,21.4369,52.9717335,"e"
"208","KY3684408551020011108","KY3684408551020011108","NA",0,847.860295642325,343.118260743481,2001,NA,NA,"e"
"209","KY3686008359020011102","KY3686008359020011102","NA",0,575.230626211409,232.788506557576,2001,NA,NA,"e"
"210","KY3686008359020011102","KY3686008359020011102_12480","200101403 200101407",2,4522.19612390309,1830.07516303029,2001,300.1166,741.604269,"e"
"211","KY3686008359020011102","KY3686008359020011102_12481","NA",0,447.312761237597,181.021776149965,2001,NA,NA,"e"
"212","KY3686008359020011102","KY3686008359020011102_12482","NA",0,811.166850144502,328.268890788776,2001,NA,NA,"e"
"213","KY3686008359020011102","KY3686008359020011102_12483","NA",0,259.640908068445,105.073367926507,2001,NA,NA,"e"
"214","KY3686008359020011102","KY3686008359020011102_12484","200101390",1,670.444514595936,271.320354255873,2001,171.4952,423.773868,"e"
"215","KY3686008359020011102","KY3686008359020011102_12485","NA",0,617.950641111784,250.076752376951,2001,NA,NA,"e"
"216","KY3688808375720011104","KY3688808375720011104","NA",0,703.528354221376,284.70896269684,2001,NA,NA,"e"
"217","KY3688808375720011104","KY3688808375720011104_12494","NA",0,110.660063251252,44.7827178978443,2001,NA,NA,"e"
"218","KY3688808375720011104","KY3688808375720011104_12495","NA",0,98.7173691080533,39.9496617162228,2001,NA,NA,"e"
"219","KY3689008312020011028","KY3689008312020011028","NA",0,337.894191688023,136.741474937786,2001,NA,NA,"e"
"220","KY3689008312020011028","KY3689008312020011028_12497","NA",0,393.574546011072,159.27460501959,2001,NA,NA,"e"
"221","KY3689008312020011028","KY3689008312020011028_12498","NA",0,96.4481071054784,39.0313202919379,2001,NA,NA,"e"
"222","KY3698108344820011024","KY3698108344820011024","200101381",1,2700.47534705426,1092.84797156345,2001,514.4856,1271.321604,"e"
"223","KY3702208373520011105","KY3702208373520011105","NA",0,197.216042134612,79.8108199142367,2001,NA,NA,"e"
